sap_no,part_no,part_description,planned_output,is_active
30023364,U000417,U000417 Drawer Big Right Paint,540,1
30023365,U000417,U000417 Drawer Big Right Spot,30,1
30023366,U000418,U000418 Drawer Large Right Paint,540,1
30023367,U000418,U000418 Drawer Large Right Spot,25.71428571,1
30023368,U000420,U000420 Rear Cover Spot,31.30434783,1
30023369,U000421,U000421 Side Panel Left Spot,56.25,1
30023370,U000422,U000422 Side Panel Right Spot,56.25,1
30023371,U000423,U000423 Top Panel Spot,34.28571429,1
30023372,U000424,U000424 Middle Divided Plate Spot,23.22580645,1
30023373,U000425,U000425 Inner Plate Left Spot,60,1
30023374,U000426,U000426 Inner Plate Right Spot,60,1
30023454,P002653,P002653 Drawer Handle Large Left Press,300,1
30023455,P002659,P002659 Drawer Handle Large Right Press,300,1
30023636,U000411BLK,U000411BLK Body Paint,90,1
30023637,P002638BLK,P002638BLK Supply Holder Paint,2400,1
30023638,P002808BLK,P002808BLK Wire Chain Limit Paint,900,1
30023639,U000412BLK,U000412BLK Drawer Top Large Paint,180,1
30023640,U000413BLK,U000413BLK Drawer Top Small Paint,180,1
30023641,U000414BLK,U000414BLK Drawer Small Left Paint,180,1
30023642,U000415BLK,U000415BLK Drawer Big Left Paint,180,1
30023643,U000416BLK,U000416BLK Drawer Large Left Paint,180,1
30023644,U000417BLK,U000417BLK Drawer Big Right Paint,540,1
30023645,U000418BLK,U000418BLK Drawer Large Right Paint,540,1
30023646,U000411BLU,U000411BLU Body Paint,90,1
30023647,P002638BLU,P002638BLU Supply Holder Paint,2400,1
30023648,P002808BLU,P002808BLU Wire Chain Limit Paint,900,1
30023649,U000412BLU,U000412BLU Drawer Top Large Paint,180,1
30023650,U000413BLU,U000413BLU Drawer Top Small Paint,180,1
30023651,U000414BLU,U000414BLU Drawer Small Left Paint,180,1
30023652,U000415BLU,U000415BLU Drawer Big Left Paint,180,1
30023653,U000416BLU,U000416BLU Drawer Large Left Paint,180,1
30023654,U000417BLU,U000417BLU Drawer Big Right Paint,540,1
30023655,U000418BLU,U000418BLU Drawer Large Right Paint,540,1
30023656,U000411GRY,U000411GRY Body Paint,90,1
